code,name,description
VMPH,ノリだけで生きている人,"基本テンションが高めで、勢いで日常を乗り切るタイプ。細かいことを気にせず楽しさ最優先。気づいたら場を明るくしてる。"
VMPS,ビートに転生した人,"常にリズムが頭の中で鳴ってるマイペース職人。一見クールだが、好きな曲が流れると突然覚醒する。"
VMRH,テンション限界突破民,"喜怒哀楽がバグってるエモーショナルエンジン。感情の波が激しいが、周りを巻き込むパワーも最強。"
VMRS,情緒ぐるぐる人間,"毎日が“気分のジェットコースター”。言葉より音で共感するタイプで、夜になると急に語り出す。"
VAPH,ロックで説教おじさん,"熱苦しいが、不器用な優しさもある情熱系。語り出すと長いが、言ってることはだいたい正しい。"
VAPS,未来ピコピコ番長,"SF脳でこだわり強めのガジェット好き。妄想力が高く、独自のセンスで世界を構築するタイプ。"
VARH,ライブ会場の亡霊,"心はいつもライブ中。思い出で生きてるロマンチスト。情に厚く、誰かの“熱量”に弱い。"
VARS,エモ中毒者,"深夜に1人で感傷に浸る時間を愛するタイプ。感情の扱いが下手だけど、共感力はトップクラス。"
CMPH,こだわり老人,"細部フェチで静かな職人肌。物は少ないのに、好きなものには異様に詳しい。"
CMPS,ミニマリスト笑笑,"必要最小限で満足できる思考の軽量マスター。こだわりは強いが、外から見ると謎が深い。"
CMRH, 泣きながら寝るやつ,"優しすぎて傷つきがちな繊細タイプ。でも人に寄り添う天才で、密かに人気者。"
CMRS,夜に全部思い出す民,"夜になると急に感情のフォルダが開くタイプ。普段は落ち着いてるが、心の中では常にドラマが起きてる。"
CAPH,世界観研究家,"独自の世界を誰より深く掘り下げる学者気質。知識欲が強く、静かな情熱を秘めている。"
CAPS,音の魔術師（自称）,"自分のセンスを信じすぎてるが、時々本当に天才。黙々と作業するが、完成品にだけ自信満々。"
CARH,静かに泣いてるマン,"感情が繊細で、しんみりした雰囲気が似合うタイプ。他人の小さな変化によく気づく。"
CARS, 夢みがちなチル派,"ふんわりした空気の平和主義者。妄想と現実の間でのんびり生きる癒し系。"
